Reporting Economy,Product/Sector,2017,2018,2019,2020,2021,2022
Belize,Telecommunications equipment,0,0,0,0,1,0
Belize,Integrated circuits and electronic components,0,0,0,0,0,0
Belize,Transport equipment,4,4,2,2,2,3
Belize,Automotive products,1,1,1,0,1,1
Belize,Textiles,0,0,0,0,0,0
Belize,Clothing,2,1,1,0,0,1
Benin,Agricultural products,583,763,712,676,833,758
Benin,Fuels and mining products,23,28,27,38,39,42
Benin,Manufactures,114,147,96,117,136,91
Benin,Iron and steel,17,42,27,30,59,43
Benin,Chemicals,11,7,7,7,8,8
Benin,Pharmaceuticals,6,4,3,3,4,5
Benin,Machinery and transport equipment,42,54,17,41,33,16
Benin,Office and telecom equipment,2,1,2,0,0,0
Benin,Electronic data processing and office equipment,0,0,1,0,0,0
Benin,Telecommunications equipment,2,1,0,0,0,0
Benin,Integrated circuits and electronic components,0,0,0,0,0,0
Benin,Transport equipment,7,4,7,5,9,5
Benin,Automotive products,5,3,2,3,5,3
Benin,Textiles,11,10,10,12,13,11
Benin,Clothing,0,1,0,1,1,0
Bermuda,Agricultural products,6,4,4,3,2,3
Bermuda,Fuels and mining products,0,0,0,0,0,0
Bermuda,Manufactures,5,13,23,16,23,10
Bermuda,Iron and steel,0,0,0,0,0,0
Bermuda,Chemicals,0,0,0,0,0,0
Bermuda,Pharmaceuticals,0,0,0,0,0,0
Bermuda,Machinery and transport equipment,2,8,18,3,21,7
Bermuda,Office and telecom equipment,0,1,1,0,1,1
Bermuda,Electronic data processing and office equipment,0,0,0,0,0,0
Bermuda,Telecommunications equipment,0,1,1,0,1,1
Bermuda,Integrated circuits and electronic components,0,0,0,0,0,0
Bermuda,Transport equipment,1,4,15,2,18,2
Bermuda,Automotive products,0,1,11,2,5,0
Bermuda,Textiles,0,0,2,0,0,0
Bermuda,Clothing,0,0,0,0,0,0
Botswana,Agricultural products,109,127,100,90,137,157
Botswana,Fuels and mining products,161,81,57,82,216,474
Botswana,Manufactures,5595,6367,5079,4090,7068,7692
Botswana,Iron and steel,5,6,9,7,9,8
Botswana,Chemicals,70,83,67,74,89,101
Botswana,Pharmaceuticals,6,11,8,11,14,21
Botswana,Machinery and transport equipment,234,256,189,171,217,266
Botswana,Office and telecom equipment,12,16,10,12,11,13
Botswana,Electronic data processing and office equipment,3,5,2,1,2,3
Botswana,Telecommunications equipment,8,10,7,9,7,10
Botswana,Integrated circuits and electronic components,1,0,1,1,3,0
Botswana,Transport equipment,58,72,44,28,44,53
Botswana,Automotive products,26,41,36,23,34,31
Botswana,Textiles,16,20,13,13,17,20
Botswana,Clothing,2,4,2,2,5,7
Brazil,Agricultural products,87792,92906,89086,93237,111086,147984
Brazil,Fuels and mining products,46850,58914,61605,58658,93874,96815
Brazil,Manufactures,74393,74691,66400,52064,70168,84149
Brazil,Iron and steel,11281,12598,11545,9066,14514,17406
Brazil,Chemicals,11911,12134,11419,10095,12907,16119
Brazil,Pharmaceuticals,1326,1254,1231,1143,1190,1507
Brazil,Machinery and transport equipment,35613,34519,28866,20620,26150,32176
Brazil,Office and telecom equipment,829,895,830,691,755,947
Brazil,Electronic data processing and office equipment,388,420,344,245,263,330
Brazil,Telecommunications equipment,254,280,348,289,327,504
Brazil,Integrated circuits and electronic components,187,195,139,157,164,112
Brazil,Transport equipment,20614,18852,15160,10941,13679,17395
Brazil,Automotive products,14739,13032,9659,7253,9271,12419
Brazil,Textiles,799,745,697,622,845,913
Brazil,Clothing,153,148,160,122,168,205
Brunei Darussalam,Agricultural products,13,16,13,12,43,46
Brunei Darussalam,Fuels and mining products,5004,6001,6435,5392,8728,11453
Brunei Darussalam,Manufactures,533,547,585,1192,2272,2722
Brunei Darussalam,Iron and steel,7,38,31,8,10,10
Brunei Darussalam,Chemicals,202,247,247,1104,1996,2488
Brunei Darussalam,Pharmaceuticals,0,1,1,0,1,2
Brunei Darussalam,Machinery and transport equipment,140,172,229,50,215,132
Brunei Darussalam,Office and telecom equipment,11,11,6,3,5,7
Brunei Darussalam,Electronic data processing and office equipment,4,3,2,2,3,3
Brunei Darussalam,Telecommunications equipment,6,7,3,1,2,3
Brunei Darussalam,Integrated circuits and electronic components,1,1,1,1,1,2
Brunei Darussalam,Transport equipment,48,64,69,21,153,66
Brunei Darussalam,Automotive products,5,5,9,5,15,4
Brunei Darussalam,Textiles,1,1,1,1,1,0
Brunei Darussalam,Clothing,11,9,6,7,6,6
Bulgaria,Agricultural products,5017,5422,5644,5620,7371,8852
Bulgaria,Fuels and mining products,7452,7599,7360,6160,8615,12755
Bulgaria,Manufactures,17470,19513,19451,19201,24226,26609
Bulgaria,Iron and steel,1087,1256,808,747,1316,1297
Bulgaria,Chemicals,3123,3453,3667,3744,4841,5916
Bulgaria,Pharmaceuticals,1009,1104,1163,1205,1211,1204
Bulgaria,Machinery and transport equipment,6600,7635,7825,7578,9421,10273
Bulgaria,Office and telecom equipment,792,993,965,1002,1252,1363
Bulgaria,Electronic data processing and office equipment,248,311,295,286,318,389
Bulgaria,Telecommunications equipment,302,354,414,439,530,468
Bulgaria,Integrated circuits and electronic components,242,329,257,277,404,505
Bulgaria,Transport equipment,1116,1249,1367,1431,1720,1839
Bulgaria,Automotive products,584,595,661,632,703,726
Bulgaria,Textiles,529,548,525,589,709,734
Bulgaria,Clothing,1628,1654,1557,1342,1377,1400
Burkina Faso,Agricultural products,763,796,677,561,797,848
Burkina Faso,Fuels and mining products,185,218,180,130,187,97
Burkina Faso,Manufactures,92,110,134,120,159,236
Burkina Faso,Iron and steel,7,15,14,17,20,39
Burkina Faso,Chemicals,9,23,15,15,15,18
Burkina Faso,Pharmaceuticals,0,0,1,1,1,1
Burkina Faso,Machinery and transport equipment,56,52,83,49,73,74
Burkina Faso,Office and telecom equipment,1,1,2,2,2,1
Burkina Faso,Electronic data processing and office equipment,0,0,1,0,0,0
Burkina Faso,Telecommunications equipment,0,0,0,0,1,1
Burkina Faso,Integrated circuits and electronic components,1,1,0,1,1,0
Burkina Faso,Transport equipment,25,23,45,18,31,30
Burkina Faso,Automotive products,15,8,13,11,27,19
Burkina Faso,Textiles,6,5,4,5,5,5
Burkina Faso,Clothing,1,0,1,1,2,0
