Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2017,2018,2019,2020,2021,2022
Australia,SI3_AGG - MAMTTE - Transport equipment,World,3814,3884,3942,3114,3224,3424
Australia,SI3_AGG - MAMTAU - Automotive products,World,1725,1251,1308,1096,1345,1360
Australia,SI3_AGG - MATE - Textiles,World,209,203,212,190,250,245
Australia,SI3_AGG - MACL - Clothing,World,251,250,262,264,360,451
Australia and New Zealand,SI3_AGG - TO - Total merchandise,World,269206,296770,310522,289200,389641,457664
Austria,SI3_AGG - TO - Total merchandise,World,168026,184815,178670,169418,202806,211392
Austria,SI3_AGG - AG - Agricultural products,World,16594,18190,17980,18253,21313,21694
Austria,SI3_AGG - AGFO - Food,World,12955,14009,14108,14774,16416,16961
Austria,SI3_AGG - MI - Fuels and mining products,World,8784,10267,9790,8862,12603,16075
Austria,SI3_AGG - MIFU - Fuels,World,3166,3879,4019,3226,4924,8027
Austria,SI3_AGG - MA - Manufactures,World,141189,154694,149263,139226,164845,169692
Austria,SI3_AGG - MAIS - Iron and steel,World,8759,9950,8681,7128,9977,11795
Austria,SI3_AGG - MACH - Chemicals,World,22810,23923,24511,25707,30429,30870
Austria,SI3_AGG - MACHPH - Pharmaceuticals,World,11231,11057,12483,13639,14837,14463
Austria,SI3_AGG - MAMT - Machinery and transport equipment,World,68850,75578,73194,65950,76099,78187
Austria,SI3_AGG - MAMTOF - Office and telecom equipment,World,10443,10988,9097,8471,9553,9871
Austria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1907,2090,1981,1952,2100,1954
Austria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,6746,6966,5336,4991,5545,5879
Austria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1790,1932,1780,1529,1908,2039
Austria,SI3_AGG - MAMTTE - Transport equipment,World,24732,27172,28060,23903,27005,27577
Austria,SI3_AGG - MAMTAU - Automotive products,World,18349,20714,21463,17761,19468,19978
Austria,SI3_AGG - MATE - Textiles,World,2048,2144,2017,2206,2234,2177
